//Zannino2010 et al. (2010) 
// Subjects=15
// Subjects=12
-48.43	-71.46	-1.17
-52.88	-54.87	-7.22
-49.89	-31.2	62.1
-41.43	-30.29	48.42
-50.72	34.84	10.76

//Phillips et al. (2002) 
// Subjects=12
-59.13	-70.66	7.9
21.41	-2.46	67.01

//Tranel et al. (2005) 
// Subjects=10
-52.97	-49.01	-13.4
-27.07	-38.18	-13.79

//Wadsworth et al. (2011) 
// Subjects=32
20.68	-95.43	5.49
-49.9	12.34	29.73
69.59	20.13	5.78
-35.43	17.45	-8.64
61.04	41.76	10.94
48.42	11.82	21.93

//Whatmough et al. (2002) 
// Subjects=15
27.1	-67.45	-8.46
-17.23	-67.92	-11.02
4.94	-7.79	45.41
-8.82	56.18	-4.39

//Bai et al. (2011)
// Subjects=21
34 -34 -26
-36 -44 -24
-48 16 28

//Reference=Talairach
//Folstein et al. (2013)
//Subjects=20
25 -48 -10
-24 -48 -11

//Reference=Talairach
//Grossman et al. (2002)
//Subjects=16
-60 -60 4
-20 44 16

//Reference=MNI
//Kroliczak et al. (2009)
//Subjects=12
-54 2 22
-30 -12 50
-46 -46 50
-58 -36 30
-10 -72 50
-58 -36 30
-10 -72 50
-58 -70 -6
-34 46 34
-16 -8 -2
-8 -10 60
-8 6 42
-34 -26 60
-8 6 42
-34 -26 60
-40 -54 -40
28 -12 58
14 -70 50
32 -56 -38

//Reference=Talairach
//Laine et al., (2001)
//Subjects=7
0 -86 8
16 38 24
-22 52 -12

//Reference=Talairach
//Mrcuzek et al., 2013
//Subjects=12
-41 -38 41
-32 -48 48
-35 -45 52
